issues,en,name,country,kind,category,tags,wikiEnTitle,wikiRuTitle,image
missing_wiki_ru,Lake McKenzie (Queensland),Озеро Маккензи,Австралия,natural,water,,Lake McKenzie,,https://upload.wikimedia.org/wikipedia/commons/b/b5/LakeMcKenzieNov112024.jpg
missing_wiki_ru,Lake Matheson,Озеро Мэтисон,Новая Зеландия,natural,water,,Lake Matheson,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Lake_Matheson_reflection_of_Mount_Tasman_and_Aoraki_Mount_Cook.jpg
missing_wiki_ru,Fairy Pools,Бассейны Фей — Скай,Шотландия,natural,water,instagram,Fairy Pools,,https://upload.wikimedia.org/wikipedia/commons/9/94/Fairy_Pools%2C_Skye%2C_Scotland_17_%28highest_pool%29.jpg
missing_wiki_ru,Hanalei Bay,Бухта Ханалей (Кауаи),США (Гавайи),natural,water,,Hanalei Bay,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Hanalei_Pier%2C_Hanalei_Bay%2C_Kauai%2C_Hawaii.jpg
missing_wiki_ru,Reversing Falls,Реверсивные водопады,Канада,natural,water,,Reversing Falls,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Reversing_Falls_Bridge_in_2026.jpg
missing_wiki_ru,Dent du Géant,Дант-дю-Жеан,Франция / Италия,natural,mountain,,Dent du Géant,,https://upload.wikimedia.org/wikipedia/commons/d/d0/AiguilleduGeant0001.jpg
missing_wiki_ru,Grand Teton,Гранд-Титон,США,natural,mountain,,Grand Teton,,https://upload.wikimedia.org/wikipedia/commons/6/60/Grand_Teton_GTNP1.jpg
missing_wiki_ru,Mount Aspiring / Tititea,Маунт-Аспайринг,Новая Зеландия,natural,mountain,,Mount Aspiring / Tititea,,https://upload.wikimedia.org/wikipedia/commons/e/e1/Mount_Aspiring%2C_Otago%2C_New_Zealand%2C_22_July_2005.jpg
missing_wiki_ru,Hornelen,Хорнелен,Норвегия,natural,mountain,,Hornelen,,https://upload.wikimedia.org/wikipedia/commons/6/6b/Hornelen_Bremanger_1.jpg
missing_wiki_ru,Cairngorms,Кейрнгормс,Шотландия,natural,mountain,,Cairngorms,,https://upload.wikimedia.org/wikipedia/commons/e/ee/Cairn_Gorm_-_geograph.org.uk_-_366811.jpg
missing_wiki_ru|missing_image,Mount Emmons (Colorado),Гора Эммонс,США,natural,mountain,,Mount Emmons (Colorado),,
missing_wiki_ru,Daintree Rainforest,Тропический лес Дейнтри,Австралия,natural,forest,unesco,Daintree Rainforest,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Daintree_Rainforest%2C_Queensland_%28483855%29_%289440811465%29.jpg
missing_wiki_ru,Hoh Rainforest,Лес Хох,США,natural,forest,,Hoh Rainforest,,https://upload.wikimedia.org/wikipedia/commons/3/35/BIG_LEAF_MAPLES_HOH.jpg
missing_wiki_ru,Paimpont forest,Брокелианд,Франция,natural,forest,,Paimpont forest,,https://upload.wikimedia.org/wikipedia/commons/c/cb/La_Voie_Royale_%2858407064%29.jpeg
missing_wiki_ru,Sintra-Cascais Natural Park,Парк Синтра,Португалия,natural,forest,,Sintra-Cascais Natural Park,,https://upload.wikimedia.org/wikipedia/commons/e/ec/Hola_%281_of_1%29-186.jpg
