action,en,name,kind,category,source
added,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Культурный ландшафт и археологические находки в долине Бамиан,human,archaeology,unesco_full
added,Minaret and Archaeological Remains of Jam,Минарет и археологические объекты в Джеме,human,archaeology,unesco_full
added,Historic Centres of Berat and Gjirokastra,Исторические центры Берата и Джирокастры,human,city,unesco_full
added,Butrint,Древний город Бутринт,human,architecture,unesco_full
added,Al Qal'a of Beni Hammad,Крепость Аль-Кала в древнем городе Бени-Хаммад,human,architecture,unesco_full
updated,Tassili n'Ajjer,Плато Тассилин-Аджер,mixed,mixed_landscape,unesco_full
updated,M'Zab Valley,Долина Мзаб,human,architecture,unesco_full
added,Djémila,Древний город Джемила,human,architecture,unesco_full
added,Tipasa,Древний город Типаса,human,architecture,unesco_full
added,Timgad,Древний город Тимгад,human,architecture,unesco_full
added,Kasbah of Algiers,Касба (старая часть) города Алжир,human,architecture,unesco_full
updated,Madriu-Perafita-Claror Valley,Долина Мадриу-Перафита-Кларор,human,architecture,unesco_full
added,"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo","Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",human,architecture,unesco_full
added,Antigua Naval Dockyard and Related Archaeological Sites,Верфь Антигуа и связанные с ней археологические объекты,human,architecture,unesco_full
added,"Cueva de las Manos, Río Pinturas","Пещера Куэва-де-лас-Манос (район Рио-Пинтурас, провинция Санта-Крус)",human,architecture,unesco_full
added,Jesuit Block and Estancias of Córdoba,Постройки и фермы иезуитов в городе Кордова и окрестностях,human,architecture,unesco_full
updated,Quebrada de Humahuaca,Древний путь Кебрада-де-Умауака,human,architecture,unesco_full
added,"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination","Музей и Мемориальный комплекс ЭСМА, бывший подпольный центр содержания под стражей, пыток и истребления",human,architecture,unesco_full
added,Monasteries of Haghpat and Sanahin,Монастыри Ахпат и Санаин,human,architecture,unesco_full
added,Monastery of Geghard and the Upper Azat Valley,Монастырь Гегард и верховья реки Азат,human,sacred,unesco_full
added,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Кафедральный собор и церкви Эчмиадзина и археологический памятник Звартноц,human,sacred,unesco_full
updated,Kakadu National Park,Национальный парк Какаду,mixed,mixed_landscape,unesco_full
added,Sydney Opera House,Сиднейский оперный театр,human,architecture,unesco_full
updated,Willandra Lakes Region,Озерный район Уилландра,mixed,mixed_landscape,unesco_full
updated,Tasmanian Wilderness,Дикая природа Западной Тасмании,mixed,mixed_landscape,unesco_full
updated,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Национальный парк Улуру-Катаюта (Айерс-Рок – Маунт-Олга),mixed,mixed_landscape,unesco_full
added,Royal Exhibition Building and Carlton Gardens,Здание Королевской выставки и сады Карлтон (Мельбурн),human,architecture,unesco_full
added,Australian Convict Sites,Каторжные поселения,human,architecture,unesco_full
added,Budj Bim Cultural Landscape,Культурный ландшафт Будж Бим,human,architecture,unesco_full
added,Murujuga Cultural Landscape,Культурный ландшафт Муруджуга,human,architecture,unesco_full
added,Historic Centre of the City of Salzburg,Исторический центр города Зальцбург,human,city,unesco_full
added,Semmering Railway,Железная дорога Земмеринг,human,engineering,unesco_full
added,Palace and Gardens of Schönbrunn,Дворец и парки Шёнбрунн (Вена),human,fortress,unesco_full
added,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,"Культурный ландшафт Хальштатт-Дахштайн, район Зальцкаммергут",human,architecture,unesco_full
added,City of Graz – Historic Centre and Schloss Eggenberg,Город Грац – исторический центр и замок Еггенберг,human,city,unesco_full
updated,Wachau Cultural Landscape,Культурный ландшафт Вахау,human,architecture,unesco_full
added,Historic Centre of Vienna,Исторический центр Вены,human,city,unesco_full
added,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Старая крепость в Баку с Дворцом ширваншахов и Девичьей Башней,human,engineering,unesco_full
added,Gobustan Rock Art Cultural Landscape,Культурный пейзаж наскальных рисунков Кобустана,human,archaeology,unesco_full
added,Historic Centre of Sheki with the Khan’s Palace,Исторический центр Шеки вместе с Ханским дворцом,human,fortress,unesco_full
added,Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,Культурный ландшафт народа Хыналыг и маршрут перегона скота «Кёч-Йолу»,human,architecture,unesco_full
added,Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Археологические памятники Калат-аль-Бахрейн,human,archaeology,unesco_full
added,"Pearling, Testimony of an Island Economy","Pearling, Testimony of an Island Economy",human,architecture,unesco_full
added,Dilmun Burial Mounds,Могильные курганы Дильмуна,human,architecture,unesco_full
added,Historic Mosque City of Bagerhat,Исторический город мечетей Багерхат,human,sacred,unesco_full
added,Ruins of the Buddhist Vihara at Paharpur,Руины буддийского монастыря в Пахарпуре,human,archaeology,unesco_full
added,Historic Bridgetown and its Garrison,Исторический Бриджтаун с его военными укреплениями,human,architecture,unesco_full
added,Mir Castle Complex,Комплекс Мирского замка,human,fortress,unesco_full
added,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh","Архитектурный, жилой и культурный комплекс рода Радзивиллов в городе Несвиж",human,architecture,unesco_full
added,Flemish Béguinages,Фламандские «Бегинажи»,human,architecture,unesco_full
added,"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)","Четыре судоподъемника на канале Дю-Сантр и их окружение, Ля-Лувьер и Ле-Рейкс, провинция Эно",human,engineering,unesco_full
added,"La Grand-Place, Brussels",Площадь Ла-Гранд-Плас в Брюсселе,human,architecture,unesco_full
added,Historic Centre of Brugge,Исторический центр города Брюгге,human,city,unesco_full
