title,note
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",not found in en.wikipedia batch
"ESMA Museum and Site of Memory - Former Clandestine Centre of Detention, Torture and Extermination",not found in en.wikipedia batch
Historic Centre of Sheki with the Khan's Palace,not found in en.wikipedia batch
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,not found in en.wikipedia batch
Qal'at al-Bahrain - Ancient Harbour and Capital of Dilmun,not found in en.wikipedia batch
Historic Bridgetown and its Garrison,not found in en.wikipedia batch
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",not found in en.wikipedia batch
Mehmed Paša Sokolović Bridge in Višegrad,not found in en.wikipedia batch
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,not found in en.wikipedia batch
São Francisco Square in the Town of São Cristóvão,not found in en.wikipedia batch
Paraty and Ilha Grande - Culture and Biodiversity,not found in en.wikipedia batch
Valongo Wharf Archaeological Site,not found in en.wikipedia batch
"Cidade Velha, Historic Centre of Ribeira Grande",not found in en.wikipedia batch
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",not found in en.wikipedia batch
Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,not found in en.wikipedia batch
Cambodian Memorial Sites: From centres of repression to places of peace and reflection,not found in en.wikipedia batch
Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,not found in en.wikipedia batch
L'Anse aux Meadows National Historic Site,not found in en.wikipedia batch
Landscape of Grand Pré,not found in en.wikipedia batch
Tr'ondëk-Klondike,not found in en.wikipedia batch
Writing-on-Stone / Áísínai'pi,not found in en.wikipedia batch
Ennedi Massif: Natural and Cultural Landscape,not found in en.wikipedia batch
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,not found in en.wikipedia batch
Mount Qingcheng and the Dujiangyan Irrigation System,not found in en.wikipedia batch
Cultural Landscape of Honghe Hani Rice Terraces,not found in en.wikipedia batch
West Lake Cultural Landscape of Hangzhou,not found in en.wikipedia batch
Site of Xanadu,not found in en.wikipedia batch
"Kulangsu, a Historic International Settlement",not found in en.wikipedia batch
Quanzhou: Emporium of the World in Song-Yuan China,not found in en.wikipedia batch
Archaeological Ruins of Liangzhu City,not found in en.wikipedia batch
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu'er,not found in en.wikipedia batch
Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,not found in en.wikipedia batch
Chiribiquete National Park - “The Maloca of the Jaguar”,not found in en.wikipedia batch
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,not found in en.wikipedia batch
Urban Historic Centre of Cienfuegos,not found in en.wikipedia batch
Holašovice Historic Village,not found in en.wikipedia batch
Žatec and the Landscape of Saaz Hops,not found in en.wikipedia batch
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,not found in en.wikipedia batch
Mount Kumgang - Diamond Mountain from the Sea,not found in en.wikipedia batch
The par force hunting landscape in North Zealand,not found in en.wikipedia batch
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,not found in en.wikipedia batch
Aasivissuit - Nipisat. Inuit Hunting Ground between Ice and Sea,not found in en.wikipedia batch
Viking-Age Ring Fortresses,not found in en.wikipedia batch
Colonial City of Santo Domingo,not found in en.wikipedia batch
Asmara: A Modernist African City,not found in en.wikipedia batch
Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,not found in en.wikipedia batch
The Gedeo Cultural Landscape,not found in en.wikipedia batch
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",not found in en.wikipedia batch
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",not found in en.wikipedia batch
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",not found in en.wikipedia batch
"Bordeaux, Port of the Moon",not found in en.wikipedia batch
"Decorated Cave of Pont d'Arc, known as Grotte Chauvet-Pont d'Arc, Ardèche",not found in en.wikipedia batch
The Maison Carrée of Nîmes,not found in en.wikipedia batch
"Nice, Winter Resort Town of the Riviera",not found in en.wikipedia batch
Te Henua Enata - The Marquesas Islands,not found in en.wikipedia batch
Megaliths of Carnac and of the shores of Morbihan,not found in en.wikipedia batch
St Mary's Cathedral and St Michael's Church at Hildesheim,not found in en.wikipedia batch
"Collegiate Church, Castle and Old Town of Quedlinburg",not found in en.wikipedia batch
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",not found in en.wikipedia batch
Luther Memorials in Eisleben and Wittenberg,not found in en.wikipedia batch
Historic Centres of Stralsund and Wismar,not found in en.wikipedia batch
Town Hall and Roland on the Marketplace of Bremen,not found in en.wikipedia batch
Fagus Factory in Alfeld,not found in en.wikipedia batch
Carolingian Westwork and Civitas Corvey,not found in en.wikipedia batch
Speicherstadt and Kontorhaus District with Chilehaus,not found in en.wikipedia batch
Archaeological Border complex of Hedeby and the Danevirke,not found in en.wikipedia batch
Water Management System of Augsburg,not found in en.wikipedia batch
"ShUM Sites of Speyer, Worms and Mainz",not found in en.wikipedia batch
Schwerin Residence Ensemble,not found in en.wikipedia batch
"The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof, Schachen and Herrenchiemsee",not found in en.wikipedia batch
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",not found in en.wikipedia batch
Pythagoreion and Heraion of Samos,not found in en.wikipedia batch
Archaeological Site of Aigai (modern name Vergina),not found in en.wikipedia batch
Archaeological Sites of Mycenae and Tiryns,not found in en.wikipedia batch
