sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
1108,importable,108,Badghis forest reserves,Badghis,Q611729,Hamun Lake,Хамун,Afghanistan,30.7653,61.6372,forest,Hamun Lake,Хамун,http://commons.wikimedia.org/wiki/Special:FilePath/Hamoun%20wetland%202020-05-09%2005.jpg,природоохранная зона,country:Afghanistan
1109,importable,108,Baghlan river gorges,Baghlan,Q974525,Panjshir Valley,Панджшерское ущелье,Afghanistan,35.266666666,69.466666666,desert,Panjshir Valley,Панджшерское ущелье,http://commons.wikimedia.org/wiki/Special:FilePath/Panjshir%20River%20Valley%20in%20May%202011.jpg,долина,country:Afghanistan
1111,importable,108,Bamian desert landscapes,Bamian,Q2088454,Registan Desert,Регистан (пустыня),Afghanistan,30.453408333,65.407105555,desert,Registan Desert,Регистан (пустыня),http://commons.wikimedia.org/wiki/Special:FilePath/Caravane%20dans%20le%20d%C3%A9sert%20du%20Registan%20%28Afghanistan%29%20en%201969.jpg,пустыня,country:Afghanistan
1113,importable,108,Faryab highland plateau,Faryab,Q5451,Himalayas,Гималаи,Afghanistan,29,84,mountain,Himalayas,Гималаи,http://commons.wikimedia.org/wiki/Special:FilePath/Himalayas.jpg,горный хребет,country:Afghanistan
1114,importable,108,Ghazni mountain valleys,Ghazni,Q5469,Karakoram,Каракорум (горная система),Afghanistan,35.883055555,76.508888888,mountain,Karakoram,Каракорум (горная система),http://commons.wikimedia.org/wiki/Special:FilePath/K2-big.jpg,горный хребет,country:Afghanistan
1110,importable,108,Balkh coastal wetlands,Balkh,Q8485,Ghorband River,Горбанд,Afghanistan,34.9996,69.3076,water,Ghorband River,Горбанд,http://commons.wikimedia.org/wiki/Special:FilePath/Afghanistan%20Bagram%20Valley.jpg,река,country:Afghanistan
1115,importable,108,Berat mountain valleys,Berat,Q73515,Deshat,Дешати,Albania,41.637222222,20.525,mountain,Deshat,Дешати,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%92%D0%B5%D0%BB%D0%B8%D0%B2%D0%B0%D1%80%20%28%D0%94%D0%B5%D1%88%D0%B0%D1%82%29%2004.jpg,гора,country:Albania
1121,importable,108,Elbasan highland plateau,Elbasan,Q189915,Dinaric Alps,Динарское нагорье,Albania,44.028667506,16.723858769,mountain,Dinaric Alps,Динарское нагорье,http://commons.wikimedia.org/wiki/Special:FilePath/Orjen.jpg,горный хребет,country:Albania
1122,importable,108,Fier mountain valleys,Fier,Q615771,Accursed Mountains,Проклетие,Albania,42.442222222,19.812777777,mountain,Accursed Mountains,Проклетие,http://commons.wikimedia.org/wiki/Special:FilePath/Theth%20Radohima%20MajaArapit.jpg,горный хребет,country:Albania
1116,importable,108,Bulqize forest reserves,Bulqize,Q686088,Llogara National Park,Логара (национальный парк),Albania,40.21638889,19.57027778,forest,Llogara National Park,Логара (национальный парк),http://commons.wikimedia.org/wiki/Special:FilePath/Llogara%20pass.jpg,природоохранная зона,country:Albania
1117,importable,108,Delvine river gorges,Delvine,Q7108014,Osum Canyon,Каньон Осуми,Albania,40.47,20.255,desert,Osum Canyon,Каньон Осуми,http://commons.wikimedia.org/wiki/Special:FilePath/Osumi%20Canyons%20-%20Outside%20Corovoda%20-%20Albania%20-%2003%20%2842486434472%29.jpg,каньон,country:Albania
1120,importable,108,Durres lake district,Durres,Q204392,Lake Prespa,Преспа,Albania,40.9,21.05,water,Lake Prespa,Преспа,http://commons.wikimedia.org/wiki/Special:FilePath/Lake%20Prespa%20Albania.jpg,озеро,country:Albania
1124,importable,108,Ain Defla forest reserves,Ain Defla,Q2664197,Tlemcen National Park,Тлемсен (национальный парк),Algeria,34.706346,-1.459733,forest,Tlemcen National Park,Тлемсен (национальный парк),http://commons.wikimedia.org/wiki/Special:FilePath/Tlemcen%2C%20Algeria%20-%20Ruin%20of%20Mansoura.jpg,национальный парк,country:Algeria
1129,importable,108,Bechar highland plateau,Bechar,Q62624,Aurès Mountains,Орес (горы),Algeria,35.233333333,6.166666666,mountain,Aurès Mountains,Орес (горы),http://commons.wikimedia.org/wiki/Special:FilePath/Hammam%20Essalhine%20Aquae%20Flaviane%20Khenchela%20Mont%20View%202.jpg,горный хребет,country:Algeria
1130,importable,108,Bejaia mountain valleys,Bejaia,Q334948,Mount Chenoua,Шенуа (гора),Algeria,36.606388888,2.371666666,mountain,Mount Chenoua,Шенуа (гора),http://commons.wikimedia.org/wiki/Special:FilePath/Djebel%20Chenoua%20P-ad20071201-12h17m03s-ajg.jpg,гора,country:Algeria
1125,importable,108,Ain Temouchent river gorges,Ain Temouchent,Q307143,Grand Erg Oriental,Большой Восточный Эрг,Algeria,30,6,desert,Grand Erg Oriental,Большой Восточный Эрг,http://commons.wikimedia.org/wiki/Special:FilePath/Dune%2C%20Grand%20erg%20pr%C3%A8s%20de%20Ksar%20Ghilane%2C%20Tunisien%2C%202004.jpg,пустыня,country:Algeria
1127,importable,108,Annaba desert landscapes,Annaba,Q724484,M'zab,Мзаб (долина),Algeria,32.487222222,3.681388888,desert,M'zab,Мзаб (долина),http://commons.wikimedia.org/wiki/Special:FilePath/Ksar%20Beni%20Isguen%202.jpg,долина,country:Algeria
1134,importable,108,Swains Island coastal wetlands,Swains Island,Q642787,Atafu,Атафу,Tokelau,-8.558,-172.497,water,Atafu,Атафу,http://commons.wikimedia.org/wiki/Special:FilePath/Atafu.jpg,риф,country:Tokelau
1136,importable,108,Andorra la Vella mountain valleys,Andorra la Vella,Q24456,El Pas de la Casa,Пас-де-ла-Каса,Andorra,42.543736111,1.733736111,mountain,El Pas de la Casa,Пас-де-ла-Каса,http://commons.wikimedia.org/wiki/Special:FilePath/Pas%20de%20la%20case.jpg,перевал,country:Andorra
1141,importable,108,Canillo lake district,Canillo,Q24853,Gran Valira,Валира (река),Andorra,42.345833333,1.4425,water,Gran Valira,Валира (река),http://commons.wikimedia.org/wiki/Special:FilePath/Valira01.jpg,река,country:Andorra
1142,importable,108,Cuando Cubango highland plateau,Cuando Cubango,Q1348116,Mount Moco,Моко (гора),Angola,-12.466666666,15.183333333,mountain,Mount Moco,Моко (гора),http://commons.wikimedia.org/wiki/Special:FilePath/Moco.JPG,гора,country:Angola
1143,importable,108,Cuanza Norte mountain valleys,Cuanza Norte,Q3323145,Crystal Mountains (Africa),Хрустальные горы,Angola,-5.5,13.5,mountain,Crystal Mountains (Africa),Хрустальные горы,http://commons.wikimedia.org/wiki/Special:FilePath/Vue%20de%20Monts%20de%20Cristal.jpg,горный хребет,country:Angola
1149,importable,108,Australian Antarctic Territory desert landscapes,Australian Antarctic Territory,Q4076,Little Sandy Desert,Малая Песчаная пустыня,Australia,-25.26,121.86,desert,Little Sandy Desert,Малая Песчаная пустыня,http://commons.wikimedia.org/wiki/Special:FilePath/LittleSandyDesert%20near%20DurbaSpring.jpg,пустыня,country:Australia
1181,importable,108,Northern Territory river gorges,Northern Territory,Q25480,D'Entrecasteaux Channel,Пролив Д’Антркасто,Australia,-43.216666666,147.283333333,water,D'Entrecasteaux Channel,Пролив Д’Антркасто,http://commons.wikimedia.org/wiki/Special:FilePath/D%27Entrecasteaux.jpg,пролив,country:Australia
1183,importable,108,South Australia desert landscapes,South Australia,Q171846,Bass Strait,Бассов пролив,Australia,-40,146,water,Bass Strait,Бассов пролив,http://commons.wikimedia.org/wiki/Special:FilePath/Bass%20Strait%20islands.png,пролив,country:Australia
1422,importable,108,Horsburgh Island river gorges,Horsburgh Island,Q179188,Torres Strait,Торресов пролив,Australia,-9.833333333,142.5,water,Torres Strait,Торресов пролив,http://commons.wikimedia.org/wiki/Special:FilePath/Torres%20Strait.jpg,пролив,country:Australia
1151,importable,108,Antártica highland plateau,Antártica,Q538601,Terevaka,Теревака,Chile,-27.084444444,-109.379444444,mountain,Terevaka,Теревака,http://commons.wikimedia.org/wiki/Special:FilePath/Ma%CA%BBunga%20Terevaka.jpg,гора,country:Chile
1408,importable,108,Libertador General Bernardo O'Higgins highland plateau,Libertador General Bernardo O'Higgins,Q576985,Antillanca Group,Антилланка (комплекс вулканов),Chile,-40.774722222,-72.156388888,volcano,Antillanca Group,Антилланка (комплекс вулканов),http://commons.wikimedia.org/wiki/Special:FilePath/DonPedro%20Antillanca.jpg,горный хребет,country:Chile
1152,importable,108,Argentine Antarctica mountain valleys,Argentine Antarctica,Q5456,Andes,Анды,Argentina,-16.87815,-70.30151,mountain,Andes,Анды,http://commons.wikimedia.org/wiki/Special:FilePath/Andes%2070.30345W%2042.99203S.jpg,горный хребет,country:Argentina
1168,importable,108,Corrientes mountain valleys,Corrientes,Q233836,Ojos del Salado,Охос-дель-Саладо,Argentina,-27.109722222,-68.541388888,mountain,Ojos del Salado,Охос-дель-Саладо,http://commons.wikimedia.org/wiki/Special:FilePath/Ojos%20del%20Salado%20summit.jpg,гора,country:Argentina
